name,fear_free_id,clinic,street_address_x,city,state_x,zip_code,name_upper,street_address_y,state_y,db_id
Leinart Linzey,141059,UC Davis School of Veterinary Medicine,,Davis,CA,95616,UC DAVIS SCHOOL OF VETERINARY MEDICINE,,CA,151
Leinart Linzey,141554,UC Davis School of Veterinary Medicine,,Davis,CA,95616,UC DAVIS SCHOOL OF VETERINARY MEDICINE,,CA,151
Catherine Outerbridge,143469,999,,Davis,CA,,999,,CA,150
Erik Olstad,154259,UC Davis School of Veterinary Medicine,,Davis,CA,95616,UC DAVIS SCHOOL OF VETERINARY MEDICINE,,CA,151
Savannah Mccurdy,174170,Banfield Davis 5189,,DAVIS,DA,95618,BANFIELD DAVIS 5189,,DA,152
Leslie Cooper,184895,Veterianry Behavior Counseling And Therapy,,Davis,CA,95616,VETERIANRY BEHAVIOR COUNSELING AND THERAPY,,CA,153
Jan Ratanapreukskul,185268,Windy's Corner Mobile Veterinary Services,,Davis,CA,,WINDY'S CORNER MOBILE VETERINARY SERVICES,,CA,154
Crystal Loranc,193782,"University Of California, Davis",,Davis,CA,95616,"UNIVERSITY OF CALIFORNIA, DAVIS",,CA,155
Barbara Hodges,222930,"Dr. Barbara Hodges, DVM, MBA",,Davis,CA,95616,"DR. BARBARA HODGES, DVM, MBA",,CA,156
Elvis Her,86849,Carrington College,,Sacramento,CA,95828,CARRINGTON COLLEGE,,CA,157
Sylvia Nagy,22670,Sonoma Humane Society,,Santa Rosa,CA,95407,SONOMA HUMANE SOCIETY,,CA,158
Michelle McCorkell,48813,"University of California, Davis",,Santa Rosa,CA,95407,"UNIVERSITY OF CALIFORNIA, DAVIS",,CA,159
Richard Bennett,33243,Banfield Pet Hospital Crocker Village,,Sacramento,CA,,BANFIELD PET HOSPITAL CROCKER VILLAGE,,CA,160
Cole Gevurtz,33858,Sactown Vet,,Sacramento,CA,95818,SACTOWN VET,,CA,161
"Kyra Heirich, DVM",148956,Humane Society of Sonoma County,,5345,CA,,HUMANE SOCIETY OF SONOMA COUNTY,,CA,162
Ann Chiu,192672,UC Davis School of Veterinary Medicine,,West Sacramento,CA,95691,UC DAVIS SCHOOL OF VETERINARY MEDICINE,,CA,163
"Sara Cobos, DVM",74700,The Vets of Sacramento,400 Capitol Mall,Sacramento,CA,,THE VETS OF SACRAMENTO,400 Capitol Mall,CA,164
Mike Saksen,191828,Vca - Forestville Animal Hospital,,Sebastopol,CA,,VCA - FORESTVILLE ANIMAL HOSPITAL,,CA,165
Rachel Pillitteri,208276,Topline Veterinary Therapeutics,,Usa,CA,37920,TOPLINE VETERINARY THERAPEUTICS,,CA,166
Helena Tran,153842,"William Pritchard Veterinary Medicine Teaching Hospital, UC Davis",,Sacramento,CA,95811,"WILLIAM PRITCHARD VETERINARY MEDICINE TEACHING HOSPITAL, UC DAVIS",,CA,167
Beth Kenyon,111776,VCA PetCare West Veterinary Hospital,,Santa Rosa,CA,95401,VCA PETCARE WEST VETERINARY HOSPITAL,,CA,168
"Jennifer Martin, DVM, Certified Veterinary Acupuncturist",52597,Wise and Wonderful Integrative Veterinary Center,,Santa Rosa,CA,95403,WISE AND WONDERFUL INTEGRATIVE VETERINARY CENTER,,CA,171
Gail Cutler,84620,Gail Cutler,,Santa Rosa,CA,95403,GAIL CUTLER,,CA,169
Abbie Whitehead,96936,Abbie Whitehead,,Santa Rosa,CA,95403,ABBIE WHITEHEAD,,CA,170
Sasha Curtis,150174,VCA PetCare East,,Santa Rosa,CA,95403,VCA PETCARE EAST,,CA,172
Alan Power,164019,Wise and Wonderful Integrative Veterinary Center,,Santa Rosa,CA,95403,WISE AND WONDERFUL INTEGRATIVE VETERINARY CENTER,,CA,171
Kimberly Henry,165375,VCA PetCare East,,Santa Rosa,CA,95403,VCA PETCARE EAST,,CA,172
Dan Famini,182225,Vca Petcare East,,Santa Rosa,CA,95403,VCA PETCARE EAST,,CA,172
Maegha Singh,210957,VCA PetCare East,,Santa Rosa,CA,95403,VCA PETCARE EAST,,CA,172
Gail Sanders,173077,Banfield #50 Sacramento Central,,Sacramento,CA,95825,BANFIELD #50 SACRAMENTO CENTRAL,,CA,173
Gail Sanders,173177,Banfield #50 Sacramento Central,,Sacramento,CA,95825,BANFIELD #50 SACRAMENTO CENTRAL,,CA,173
Katie Chiu,38564,Country Oaks Pet Hospital,,Sacramento,CA,95864,COUNTRY OAKS PET HOSPITAL,,CA,175
Rich Johnson,49668,Country Oaks Pet Hospital,,Sacramento,CA,95864,COUNTRY OAKS PET HOSPITAL,,CA,175
Katie Imig,84839,Country Oaks Pet Hospital,,Sacremento,CA,95864,COUNTRY OAKS PET HOSPITAL,,CA,174
Kelly Anne Carlson,150306,Country Oaks Pet Hospital,,Sacramento,CA,95864,COUNTRY OAKS PET HOSPITAL,,CA,175
Cynthia D Delany,10942,Cynthia D Delany,,Woodland,CA,95695,CYNTHIA D DELANY,,CA,176
Sarah Mui,135458,UC Davis,,Sacramento,CA,95834,UC DAVIS,,CA,177
Suetching Yu,169274,Banfield Pet Hospital #0053,,Sacramento,CA,95834,BANFIELD PET HOSPITAL #0053,,CA,178
Alexander Wicklund-Blahut,206776,Vetco Total Care,,Sacramento,CA,95834,VETCO TOTAL CARE,,CA,179
Bernadette Alvarez,97440,"Safehold Special Risk, Inc.",,Rancho Cordova,CA,95670,"SAFEHOLD SPECIAL RISK, INC.",,CA,180
Beth Johnson,184489,Vca Mather Animal Medical Center,,Rancho Cordova,CA,95670,VCA MATHER ANIMAL MEDICAL CENTER,,CA,181
Jordan Richards,117123,Arena Animal Hospital,,Truxel Road,ST,,ARENA ANIMAL HOSPITAL,,ST,182
Mary Watson,222070,Banfield,,Sacramento,CA,95821,BANFIELD,,CA,183
Stephanie Jones,187680,Vetco Total Care Of Auburn,,Rancho Cordova,CA,95742,VETCO TOTAL CARE OF AUBURN,,CA,184
Jennifer Farrar,161731,Carrington College,,Carmichael,CA,95608,CARRINGTON COLLEGE,,CA,185
Evelyn Bulkeley,178624,VCA Sacramento Animal Medical Group,,Carmichael,CA,95608,VCA SACRAMENTO ANIMAL MEDICAL GROUP,,CA,186
Elisha Miller,162090,Mono Way Veterinary Hospital,,Sonora,CA,95370,MONO WAY VETERINARY HOSPITAL,,CA,187
Marc Malek,118884,Foothilll Farms Veterinary Hospital,,Sacramento,CA,95841,FOOTHILLL FARMS VETERINARY HOSPITAL,,CA,188
Megan Hirano,167421,Foothilll Farms Veterinary Hospital,,Sacramento,CA,95841,FOOTHILLL FARMS VETERINARY HOSPITAL,,CA,188
Holly Abney,170352,Foothilll Farms Veterinary Hospital,,Sacramento,CA,95841,FOOTHILLL FARMS VETERINARY HOSPITAL,,CA,188
Aurora Flanagan,132548,Carrington College,,Citrus Heights,CA,95621,CARRINGTON COLLEGE,,CA,189
